loan_id,n_inst,n_obs,on_time_rate,early_rate,late_rate,mean_delay,exposure,max_delay,first_delinq_k,first_delinq_frac,return_to_current_k,re_delinq_k,ever_delinq,n_unpaid,year,status,outcome,plan_len,purpose_len,amount,duration,rate,gender,age,job,income,expend,disposable,past_ordinary,past_early,past_late,past_overdue,past_loss,in_sample,inc17,exp17,disp17,capacity,amt_won,dur_m,req_pay,req_avg,pcg_abs,pcg_ratio,pcg_over,pcg_abs_avg
B090902-5,4,4,0.0,0.0,1.0,16.0,64,61,1.0,0.25,,,1,0,2009,연체중,손실,173,2349,100만원,9개월,0.3,여자,세,기타,,,,,,,,,1,,,,,1000000.0,9.0,136111.11111111112,125000.0,,,,
B090911-5,8,8,1.0,0.625,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,618,728,200만원,12개월,0.3,여자,세,기타,,,,22.0,17.0,0.0,0.0,0.0,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,
B090917-5,8,8,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,893,195,200만원,12개월,0.3,남자,세,기타,,,,30.0,14.0,6.0,1.0,0.0,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,
B090923-5,9,9,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,591,1011,100만원,9개월,0.3,여자,세,기타,,,,42.0,42.0,0.0,0.0,0.0,1,,,,,1000000.0,9.0,136111.11111111112,125000.0,,,,
B090930-5,8,8,0.75,0.25,0.25,0.5,4,3,4.0,0.5,5.0,7.0,1,0,2009,정상종료,완납,493,773,100만원,9개월,0.3,여자,세,기타,,,,23.0,7.0,12.0,0.0,0.0,1,,,,,1000000.0,9.0,136111.11111111112,125000.0,,,,
B091019-5,9,9,0.8889,0.8889,0.1111,2.889,26,26,7.0,0.778,8.0,,1,0,2009,정상종료,완납,641,3103,100만원,9개월,0.3,여자,세,기타,,,,11.0,9.0,5.0,0.0,0.0,1,,,,,1000000.0,9.0,136111.11111111112,125000.0,,,,
B091022-5,13,13,0.6923,0.4615,0.3077,2.846,37,10,3.0,0.231,4.0,6.0,1,0,2009,정상종료,완납,828,436,300만원,15개월,0.3,여자,세,기타,,,,73.0,53.0,6.0,0.0,0.0,1,,,,,3000000.0,15.0,275000.0,240000.0,,,,
B091031-5,10,10,1.0,0.9,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,160,769,200만원,12개월,0.3,남자,세,기타,,,,34.0,13.0,5.0,0.0,0.0,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,
B091114-5,9,9,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,378,1216,200만원,9개월,0.3,여자,세,기타,,,,30.0,28.0,0.0,0.0,0.0,1,,,,,2000000.0,9.0,272222.22222222225,250000.0,,,,
B091204-5,9,9,0.2222,0.2222,0.7778,8.444,76,28,1.0,0.111,2.0,4.0,1,0,2009,정상종료,완납,176,1581,50만원,9개월,0.3,여자,세,기타,,,,,,,,,1,,,,,500000.0,9.0,68055.55555555556,62500.0,,,,
B091207-5,12,12,0.5833,0.0833,0.4167,1.083,13,8,5.0,0.417,6.0,8.0,1,0,2009,정상종료,완납,180,362,150만원,12개월,0.3,여자,세,기타,,,,14.0,5.0,12.0,0.0,0.0,1,,,,,1500000.0,12.0,162500.0,145312.5,,,,
B091222-5,12,12,0.1667,0.1667,0.8333,3.0,36,15,3.0,0.25,,,1,0,2009,정상종료,완납,222,848,150만원,12개월,0.3,여자,세,기타,,,,25.0,19.0,10.0,0.0,0.0,1,,,,,1500000.0,12.0,162500.0,145312.5,,,,
B091225-5,4,4,0.75,0.75,0.25,0.25,1,1,2.0,0.5,3.0,,1,0,2009,정상종료,완납,327,634,250만원,6개월,0.3,여자,세,기타,,,,90.0,74.0,1.0,0.0,0.0,1,,,,,2500000.0,6.0,479166.6666666667,453125.0,,,,
