loan_id,k,sched_date,actual_date,status,delay,gap,ontime,early,late,unpaid,sched_prin,sched_int,paid_prin,paid_int,balance
B090828-1,8,2010-05-11,2010-04-12,일반상환,0,-29.0,1.0,1.0,0.0,0,111110,5013,111110,5013,111120
B090828-1,9,2010-06-11,2010-04-24,일반상환,0,-48.0,1.0,1.0,0.0,0,111120,2506,111120,2506,0
B090901-1,1,2009-10-10,2009-10-09,일반상환,0,-1.0,1.0,1.0,0.0,0,166670,46289,166670,46289,1833330
B090901-1,2,2009-11-10,2009-11-02,일반상환,0,-8.0,1.0,1.0,0.0,0,166670,42426,166670,42426,1666660
B090901-1,3,2009-12-10,2009-12-01,일반상환,0,-9.0,1.0,1.0,0.0,0,166670,38566,166670,38566,1499990
B090901-1,4,2010-01-10,2010-01-06,일반상환,0,-4.0,1.0,1.0,0.0,0,166670,34710,166670,34710,1333320
B090901-1,5,2010-02-10,2010-02-03,일시상환,0,-7.0,1.0,1.0,0.0,0,166670,30858,1333320,24345,1166650
B090916-1,1,2009-10-23,2009-10-26,일반상환,3,3.0,0.0,0.0,1.0,0,166670,47176,166670,47775,1833330
B090916-1,2,2009-11-23,2009-11-19,일반상환,0,-4.0,1.0,1.0,0.0,0,166670,43240,166670,43240,1666660
B090916-1,3,2009-12-23,2009-12-13,일반상환,0,-10.0,1.0,1.0,0.0,0,166670,39303,166670,39303,1499990
B090916-1,4,2010-01-23,2010-01-12,일반상환,0,-11.0,1.0,1.0,0.0,0,166670,35372,166670,35372,1333320
B090916-1,5,2010-02-23,2010-02-10,일반상환,0,-13.0,1.0,1.0,0.0,0,166670,31458,166670,31458,1166650
B090916-1,6,2010-03-23,2010-03-22,일반상환,0,-1.0,1.0,1.0,0.0,0,166670,27511,166670,27511,999980
B090916-1,7,2010-04-23,2010-04-21,일반상환,0,-2.0,1.0,1.0,0.0,0,166670,23583,166670,23583,833310
B090916-1,8,2010-05-23,2010-05-18,일반상환,0,-5.0,1.0,1.0,0.0,0,166670,19650,166670,19650,666640
B090916-1,9,2010-06-23,2010-06-22,일반상환,0,-1.0,1.0,1.0,0.0,0,166670,15722,166670,15722,499970
B090916-1,10,2010-07-23,2010-07-23,일반상환,0,0.0,1.0,0.0,0.0,0,166670,11791,166670,11791,333300
B090916-1,11,2010-08-23,2010-08-14,일반상환,0,-9.0,1.0,1.0,0.0,0,166670,7856,166670,7856,166630
B090916-1,12,2010-09-23,2010-08-30,일시상환,0,-24.0,1.0,1.0,0.0,0,166630,3929,166630,897,0
B091005-1,1,2009-11-20,2009-10-24,일반상환,0,-27.0,1.0,1.0,0.0,0,222218,45755,222218,45755,1777782
B091005-1,2,2009-12-20,2009-11-20,일반상환,0,-30.0,1.0,1.0,0.0,0,222218,40659,222218,40659,1555564
B091005-1,3,2010-01-20,2010-01-14,일반상환,0,-6.0,1.0,1.0,0.0,0,222218,35585,222218,35585,1333346
B091005-1,4,2010-02-20,2010-02-22,일반상환,2,2.0,0.0,0.0,1.0,0,222218,30499,222218,30944,1111128
B091005-1,5,2010-03-20,2010-03-19,일반상환,0,-1.0,1.0,1.0,0.0,0,222218,25414,222218,25414,888910
B091005-1,6,2010-04-20,2010-04-19,일반상환,0,-1.0,1.0,1.0,0.0,0,222218,20331,222218,20331,666692
B091005-1,7,2010-05-20,2010-05-19,일반상환,0,-1.0,1.0,1.0,0.0,0,222218,15253,222218,15253,444474
B091005-1,8,2010-06-20,2010-06-20,일반상환,0,0.0,1.0,0.0,0.0,0,222218,10170,222218,10170,222256
B091005-1,9,2010-07-20,2010-07-21,일반상환,1,1.0,0.0,0.0,1.0,0,222256,5083,222256,5288,0
B091024-1,1,2009-12-02,2009-12-02,일반상환,0,0.0,1.0,0.0,0.0,0,166666,21894,166666,21894,833334
